bg_households_sum,bg_aggregate_income_sum,GEOID
2617.906327421555,220737842.6757981,48027-Precinct 208
1953.784751438192,239343859.29506162,48027-Precinct 209
2378.0,276399928.5714286,48027-Precinct 210
1391.8214090951417,90062236.55510226,48027-Precinct 211
779.6455847309493,107153895.40991746,48027-Precinct 212
1904.5138412535407,263122428.1580987,48027-Precinct 213
2057.4157876817785,249989296.87859556,48027-Precinct 214
2622.257639088971,269173686.55172884,48027-Precinct 215
2574.4501307485025,201490619.70253038,48027-Precinct 216
2502.2743632557836,218750822.01059604,48027-Precinct 301
3395.7447286427428,245836325.75750357,48027-Precinct 302
3216.1391718822847,237777854.0025061,48027-Precinct 303
184.1132295649847,15822218.496612698,48027-Precinct 304
1506.7789203084833,104734297.94344473,48027-Precinct 305
3150.98756575352,169814038.3621674,48027-Precinct 306
3051.153025210866,155661335.54582322,48027-Precinct 307
3034.133756956656,222537763.0637274,48027-Precinct 308
563.2871699354546,49278098.82445973,48027-Precinct 309
221.68747409063198,20039931.461085144,48027-Precinct 310
1558.0,169339900.0,48027-Precinct 311
1193.2134123640194,117776182.83046238,48027-Precinct 312
2669.733871634144,284902396.2787666,48027-Precinct 313
2837.8125256023845,191309418.35145622,48027-Precinct 314
2062.4467827104886,209251191.93945023,48027-Precinct 315
885.6328927312993,105048711.38142943,48027-Precinct 317
2688.000354107549,301832901.79076576,48027-Precinct 318
1716.9194657017042,206687139.7857553,48027-Precinct 319
1723.887237243434,173143387.20800564,48027-Precinct 401
2743.8592605070576,221998302.8199,48027-Precinct 402
3609.868237522155,216531969.7084925,48027-Precinct 404
3372.716910775875,287672389.2843701,48027-Precinct 405
3454.9464266934306,236130996.72775438,48027-Precinct 406
3385.40467605345,280466402.5328044,48027-Precinct 408
1112.728861744646,127285399.29665162,48027-Precinct 409
3864.7858193981833,150831846.47423095,48027-Precinct 410
2433.526829027149,182163787.83195907,48027-Precinct 412
3020.456048755645,216568708.99581447,48027-Precinct 413
2981.352108590205,270898702.3121421,48027-Precinct 414
3312.451377195331,184731953.8847578,48027-Precinct 415
564.4881765386627,57173607.140968904,48027-Precinct 419
452.5199236246928,32541794.831497345,48029-1066
1646.0181640110661,173979400.35538185,48029-1067
2262.677455393979,201240265.66075277,48029-1068
1209.3174480375471,86502521.28526485,48029-1063
1226.3275100897013,88920795.8906297,48029-1065
289.37232845894266,26033698.650168728,48029-1095
1954.6323725055431,140026660.0443459,48029-1094
150.92120396967505,14588480.433871737,48029-1062
2050.2363636363634,130187215.75757575,48029-1075
1636.6843680399977,93648110.81444232,48029-1061
2350.1734457638518,125825383.08905035,48029-1039
1375.1344902386118,93864577.87418655,48029-1058
2036.3389098746998,120925220.44865613,48029-1107
458.6745248532498,36392251.2189039,48029-1105
337.31162024061297,26137770.42052461,48029-1059
637.4364001570598,37328050.70702406,48029-1042
992.8313595201271,64711350.18251983,48029-1047
1302.9089947149316,86772345.94718646,48029-1048
1619.9067396265493,105305705.12583663,48029-1049
496.66222321252883,30788710.880098056,48029-4216
1488.94182090779,119256206.37995069,48029-1054
1499.5078147813997,116398502.08815491,48029-1052
1073.6819126819128,68558774.01247402,48029-1051
459.0807799442897,25872360.44568245,48029-1050
129.16727716727718,6505643.956043957,48029-1053
1318.7122129540608,111810285.87432308,48029-1091
1455.288227838664,114385109.53485759,48029-4020
2707.3082655826556,132006678.04878049,48029-4019
545.1850066607668,34670573.76861123,48029-1102
2509.0,168017900.0,48029-1057
75.2621068397404,6640439.340988518,48029-4215
1672.9411764705883,172316883.49429324,48029-4200
881.6839414273521,78610749.16814987,48029-4073
17.00114547537228,654398.510882016,48029-4204
1211.075541676869,87902821.24361229,48029-4074
336.68370785081214,37314148.21322839,48029-4086
149.86885245901638,17622144.262295082,48029-4121
1337.1433072478724,106497865.7257632,48029-4072
1310.8436905797125,158862850.4697723,48029-1081
1925.443310476798,261513095.56689522,48029-1034
1806.3718203021058,172959354.25051355,48029-1141
1904.662956324875,234792935.3079898,48029-1151
1558.235429905595,150972208.50019032,48029-1100
1240.0,127944200.0,48029-1083
1296.2539962034393,171199500.32419005,48029-1156
397.92075658875166,41448518.224793516,48029-1069
1124.9459042355732,79326565.8108003,48029-1093
10.26991150442478,824868.5840707965,48029-1109
1516.2741623759453,224175177.55541396,48029-2125
493.4002417239266,43899523.60787953,48029-2147
655.247971344607,75581536.82119699,48029-3003
32.828365805472366,5737349.253486663,48029-2160
756.3841473925014,90453246.60491525,48029-1155
1431.707739261056,124452420.37772484,48029-1112
1448.4952536916476,109797942.91890967,48029-1076
945.9164266151234,97885042.3923214,48029-1071
2072.9028862478776,166322620.475382,48029-1036
1245.2163401417256,80571648.35348062,48029-1012
724.7836598582743,34304451.646519385,48029-1070
1303.4121712210924,69019894.7536352,48029-1085
908.0451595199871,62446124.59563287,48029-1043
1267.9080645161291,86331175.0,48029-1086
284.48266783677053,26086240.017551556,48029-1002
2003.0,191401100.0,48029-1079
1669.8795562024773,154701973.22856456,48029-1024
2397.4369469026547,250700403.65044248,48029-1113
1092.1077723727149,121547813.11545172,48029-1111
2423.0023439164715,179376399.85084167,48029-1080
1577.762893503014,175759367.84996653,48029-1149
1323.091935483871,79796125.0,48029-1087
1022.085733422639,87053625.1841929,48029-1072
1701.029490616622,163671423.97974384,48029-1104
910.0482573726541,148190320.0476616,48029-1055
1877.1948540248513,188938810.85767746,48029-2068
2814.3875943551034,207906702.36297998,48029-2069
1092.6575342465753,111105714.09001957,48029-2077
513.1246537396122,53250221.97599261,48029-1035
2209.006993006993,156316081.2937063,48029-1038
2050.993006993007,95652118.7062937,48029-1037
1694.5426692589203,125643080.65073192,48029-1084
1482.2081784386617,75148039.47279486,48029-1033
1556.0,82732400.0,48029-2044
105.76135064721086,5878127.7478884235,48029-1030
2416.740936428631,145012761.73586392,48029-4045
209.0149049222493,15340057.304463513,48029-4042
1449.153101823742,104608015.69732219,48029-4080
531.6035928143713,36107125.74850299,48029-4106
679.3971513723278,36735845.73711335,48029-4063
1416.836774201725,112920327.85281575,48029-4064
18.780405405405407,1274259.1216216218,48029-4085
1324.3752985508947,98649954.28066443,48029-4065
1235.2522170982618,111407802.05746719,48029-4160
732.2362618130907,59671052.36261813,48029-4156
1698.6802785095972,160589838.08806926,48029-4143
737.9548034562978,76257483.73892221,48029-4101
