County,anglo,anglovap,asian,asianvap,bh,bhvap,black,blackvap,hisp,hispvap,nanglo,nanglovap,vap,votes_dem,votes_rep,votes_total,college_enroll,bachelors_up_total_sum,20_trump,20_biden,aggregateincome,20_total,total,households,anglovap_pct,asianvap_pct,hispvap_pct,blackvap_pct,college_enroll_pct,bachelors_up_total_sum_pct,pct_dem_lead,pct_dem_lead_20,avg_hh_income,swing_2024
BOSQUE,13621.0,11392.0,148.0,88.0,3737.0,2422.0,503.0,305.0,3321.0,2148.0,4614.0,3064.0,14456.0,1524,7969,9586,547.0,2857.0,7469.0,1561.0,660089000.0,9140.0,18235.0,7467.0,0.7880464858882125,0.006087437742114001,0.14858882125069175,0.021098505810736027,0.03783895960154953,0.19763420033204207,-0.6723346547047778,-0.6463894967177243,88400.830320075,-0.025945157987053546
BOWIE,114026.0,92444.0,3570.0,2518.0,79336.0,56260.0,62774.0,44622.0,17364.0,11988.0,89285.0,63759.0,156203.0,9282,27122,36711,3535.0,14623.0,27102.200223713648,10731.385906040268,2832961084.2105265,38285.55928411633,203311.0,34793.73684210527,0.591819619341498,0.016120048910712344,0.07674628528261301,0.2856667285519484,0.022630807346849934,0.09361535950013763,-0.4859578872817412,-0.42759762750717334,81421.58162161671,-0.05836025977456788
BRAZORIA,161833.0,129282.0,29997.0,20997.0,173026.0,119635.0,61118.0,43332.0,115202.0,77672.0,210198.0,146618.0,275900.0,63976,95867,162046,22065.0,83413.0,90434.448732022,62233.40527736007,15738578700.0,154990.93681164118,372031.0,131184.0,0.46858281986226896,0.07610366074664733,0.2815222906850308,0.1570569046756071,0.07997462848858282,0.3023305545487495,-0.1968021426014836,-0.18195285501715724,119973.31000731797,-0.014849287584326354
BRAZOS,123056.0,103958.0,16856.0,14201.0,88788.0,63682.0,27912.0,19873.0,63067.0,45136.0,110814.0,81995.0,185953.0,33844,56671,91961,53811.0,61469.0,46852.0,35123.0,7805453378.920118,84135.0,233870.0,88412.03106508875,0.5590552451425898,0.07636875984791856,0.24272800116158383,0.10687109108215517,0.28937957440858714,0.3305620237371809,-0.24822479094398714,-0.13940690556843172,88284.9685149045,-0.10881788537555542
BREWSTER,4948.0,4318.0,164.0,122.0,4176.0,3171.0,287.0,223.0,3963.0,2982.0,4598.0,3528.0,7846.0,1969,2545,4578,686.0,3314.0,2458.2033898305085,2252.237288135593,354805999.2146597,4813.35593220339,9546.0,4923.600785340314,0.550344124394596,0.015549324496558756,0.3800662758093296,0.028422125924037728,0.087433086923273,0.4223808309966862,-0.12581913499344688,-0.04279054044537095,72062.30047551182,-0.08302859454807593
BRISCOE,1008.0,811.0,13.0,10.0,391.0,276.0,30.0,17.0,368.0,259.0,427.0,302.0,1113.0,72,666,745,60.0,190.0,639.0,78.0,38327500.0,725.0,1435.0,555.0,0.7286612758310872,0.008984725965858042,0.23270440251572327,0.015274034141958671,0.05390835579514825,0.1707097933513028,-0.7973154362416107,-0.7737931034482759,69058.55855855856,-0.02352233279333482
BROOKS,832.0,730.0,67.0,52.0,7810.0,5777.0,62.0,39.0,7771.0,5738.0,7922.0,5868.0,6598.0,1308,1077,2402,237.0,754.0,998.0,1470.0,152944900.0,2484.0,8754.0,2884.0,0.1106395877538648,0.007881176113973931,0.8696574719612004,0.005910882085480448,0.03591997575022734,0.114277053652622,0.09616985845129056,0.19001610305958128,53032.21220527046,-0.09384624460829072
BROWN,26672.0,21949.0,382.0,279.0,9884.0,6707.0,1881.0,1263.0,8211.0,5525.0,11423.0,7929.0,29878.0,2131,14591,16850,1816.0,5460.0,13698.0,2107.0,1166041100.0,15969.0,38095.0,14979.000000000002,0.7346207912176184,0.009337974429346007,0.18491866925497022,0.0422719057500502,0.06078050739674677,0.1827431554990294,-0.7394658753709198,-0.7258438224059114,77845.05641231056,-0.013622052965008402
BURLESON,11258.0,9403.0,118.0,82.0,5737.0,3989.0,2145.0,1532.0,3712.0,2503.0,6384.0,4508.0,13911.0,1703,7588,9365,642.0,3329.0,6743.0,1788.0,740042500.0,8609.0,17642.0,7749.0,0.675939903673352,0.005894615771691467,0.17992955215297246,0.11012867514916254,0.04615052835885271,0.2393070232190353,-0.6284036305392419,-0.575560459983738,95501.67763582397,-0.052843170555503916
BURNET,34810.0,29264.0,629.0,449.0,12068.0,7950.0,1011.0,652.0,11199.0,7372.0,14320.0,9719.0,38983.0,6114,21795,28153,1599.0,10964.0,18767.0,5639.0,2133040200.0,24717.0,49130.0,19597.0,0.7506861965472129,0.011517841110227535,0.1891080727496601,0.016725239206833747,0.04101787958853859,0.28125080163148036,-0.5569921500372963,-0.5311324189828863,108845.2416186151,-0.025859731054409973
CALDWELL,16560.0,13943.0,444.0,294.0,28025.0,19078.0,2932.0,2105.0,25468.0,17100.0,29323.0,20091.0,34034.0,6618,8880,15737,2289.0,5457.0,8029.744769874477,6670.786610878661,1372746900.0,14970.5,45883.0,15741.0,0.40967855673738024,0.008638420403126285,0.5024387377328554,0.06184991479109126,0.06725627313862607,0.16033966033966035,-0.1437376882506195,-0.09077573621427576,87208.36668572518,-0.05296195203634374
